calibrate
Number of Components,Grid Size (n*n),Pruned Nodes,Total Nodes,Time,Branching Depth
1,10,878,2,4.6E-05,6
1,11,878,2,5.4E-05,1
1,11,878,2,5.3E-05,2
1,11,878,2,5.3E-05,3
1,11,878,2,5.2E-05,4
1,11,878,2,5.2E-05,5
1,11,878,2,5.8E-05,6
1,12,878,2,5.4E-05,1
1,12,878,2,6.2E-05,2
1,12,878,2,6E-05,3
1,12,878,2,5.6E-05,4
1,12,878,2,6.1E-05,5
1,12,878,2,5.7E-05,6
1,13,878,2,6.6E-05,1
1,13,878,2,7.1E-05,2
1,13,878,2,6.2E-05,3
1,13,878,2,6E-05,4
1,13,878,2,6.2E-05,5
1,13,878,2,6E-05,6
1,14,878,2,7.1E-05,1
1,14,878,2,7.8E-05,2
1,14,878,2,7E-05,3
1,14,878,2,6.3E-05,4
1,14,878,2,6.8E-05,5
1,14,878,2,6.7E-05,6
1,15,878,2,8.4E-05,1
1,15,878,2,7.6E-05,2
1,15,878,2,7.9E-05,3
1,15,878,2,7.6E-05,4
1,15,878,2,7.1E-05,5
1,15,878,2,7.1E-05,6
1,16,878,2,8.9E-05,1
1,16,878,2,9.3E-05,2
1,16,878,2,8.3E-05,3
1,17,878,2,9.6E-05,1
1,17,878,2,9.4E-05,2
1,17,878,2,9.4E-05,3
1,18,878,2,9.9E-05,1
1,18,878,2,0.0001,2
1,18,878,2,0.000102,3
1,19,878,2,0.000109,1
1,19,878,2,0.000104,2
1,19,878,2,0.000108,3
1,20,878,2,0.000124,1
1,20,878,2,0.000115,2
1,20,878,2,0.000116,3
1,21,878,2,0.000123,1
1,21,878,2,0.000117,2
1,21,878,2,0.000121,3
1,22,878,2,0.00014,1
1,22,878,2,0.000139,2
1,22,878,2,0.000127,3
1,23,878,2,0.00014,1
1,23,878,2,0.000149,2
1,23,878,2,0.00014,3
1,24,878,2,0.000154,1
1,24,878,2,0.000145,2
1,24,878,2,0.000151,3
1,25,878,2,0.00016,1
1,25,878,2,0.000183,2
1,25,878,2,0.000155,3
1,1,878,2,1.2E-05,1
1,1,878,2,1.4E-05,2
1,1,878,2,1.3E-05,3
1,1,878,2,1.2E-05,4
1,1,878,2,1.1E-05,5
1,1,878,2,1.1E-05,6
1,2,878,2,1.7E-05,1
1,2,878,2,2.3E-05,2
1,2,878,2,1.4E-05,3
1,2,878,2,1.4E-05,4
1,2,878,2,1.4E-05,5
1,2,878,2,1.3E-05,6
1,3,878,2,1.8E-05,1
1,3,878,2,2.2E-05,2
1,3,878,2,1.6E-05,3
1,3,878,2,2.3E-05,4
1,3,878,2,1.7E-05,5
1,3,878,2,1.8E-05,6
1,4,878,2,2.5E-05,1
1,4,878,2,3E-05,2
1,4,878,2,2E-05,3
1,4,878,2,1.8E-05,4
1,4,878,2,1.9E-05,5
1,4,878,2,1.7E-05,6
1,5,878,2,3.2E-05,1
1,5,878,2,2.8E-05,2
1,5,878,2,2.1E-05,3
1,5,878,2,2.2E-05,4
1,5,878,2,2E-05,5
1,5,878,2,2.6E-05,6
1,6,878,2,2.9E-05,1
1,6,878,2,2.9E-05,2
1,6,878,2,2.5E-05,3
1,6,878,2,2.8E-05,4
1,6,878,2,2.6E-05,5
1,6,878,2,2.7E-05,6
1,7,878,2,4.1E-05,1
1,7,878,2,3.7E-05,2
1,7,878,2,2.9E-05,3
1,7,878,2,3.2E-05,4
1,7,878,2,3.3E-05,5
1,7,878,2,2.7E-05,6
1,8,878,2,3.9E-05,1
1,8,878,2,4.1E-05,2
1,8,878,2,4.3E-05,3
1,8,878,2,3.8E-05,4
1,8,878,2,3.3E-05,5
1,8,878,2,3.5E-05,6
1,9,878,2,5E-05,1
1,9,878,2,4E-05,2
1,9,878,2,3.8E-05,3
1,9,878,2,4.3E-05,4
1,9,878,2,4.6E-05,5
1,9,878,2,4.3E-05,6
1,10,878,2,5E-05,1
1,10,878,2,5.2E-05,2
1,10,878,2,4.6E-05,3
1,10,878,2,4.3E-05,4
1,10,878,2,5E-05,5
1,10,878,2,4.6E-05,6
1,11,878,2,6E-05,1
1,11,878,2,6.1E-05,2
1,11,878,2,5.3E-05,3
1,11,878,2,5.4E-05,4
1,11,878,2,4.7E-05,5
1,11,878,2,5.4E-05,6
1,12,878,2,6.7E-05,1
1,12,878,2,5.5E-05,2
1,12,878,2,5.8E-05,3
1,12,878,2,5.1E-05,4
1,12,878,2,5.4E-05,5
1,12,878,2,6.4E-05,6
1,13,878,2,7.3E-05,1
1,13,878,2,6.3E-05,2
1,13,878,2,6.1E-05,3
1,13,878,2,7.1E-05,4
1,13,878,2,6.3E-05,5
1,13,878,2,5.7E-05,6
1,14,878,2,7E-05,1
1,14,878,2,7.1E-05,2
1,14,878,2,6.3E-05,3
1,14,878,2,6.2E-05,4
1,14,878,2,9E-05,5
1,14,878,2,7.5E-05,6
1,15,878,2,7.5E-05,1
1,15,878,2,7.5E-05,2
